,0,1,2,support
0, 32GB,Premium Tempered Glass,,0.005405405405405406
1,Premium Tempered Glass, 64GB,,0.002275960170697013
2,Chatr Sim Card,Activation Fee (One Time),,0.005689900426742532
3,Activation Fee (One Time),Chatr Topup,,0.005405405405405406
4,Lucky Mobile SIM,Activation Fee (One Time),,0.0034139402560455193
5,Lucky Top Up,Activation Fee (One Time),,0.0031294452347083927
6,Aftermarket Lightning USB Cable 1M,Apple Wall Adapter,,0.002275960170697013
7,Premium Tempered Glass,Caseology/Spigen/Verus,,0.021052631578947368
8,Chatr Sim Card,Chatr Topup,,0.029587482219061167
9,IPTV - Voodoo Monthly Service ,IPTV - Global Media Box,,0.0025604551920341396
10,IPTV - OK2 Monthly Service,IPTV - MAG322 Box,,0.0031294452347083927
11,IPTV - Voodoo Monthly Service ,IPTV - MAG322 Box,,0.006258890469416785
12,Lucky Mobile SIM,Lucky Top Up,,0.0068278805120910386
13,Phone Top Up ,Public Mobile SIM,,0.020199146514935987
14,Premium Tempered Glass,iPhone LCD repair,,0.004551920341394026
15,Chatr Sim Card,Activation Fee (One Time),Chatr Topup,0.005405405405405406
16,Lucky Mobile SIM,Lucky Top Up,Activation Fee (One Time),0.0031294452347083927
17,Premium Tempered Glass,iPhone Repair,Caseology/Spigen/Verus,0.002844950213371266
